cosine_alignment,distance_reduction,episode_index,frame_index,mean_native_separation_l2,native_action_hash_distinct_count,native_video_trace_hash_distinct_count,normalized_final_distance,normalized_projection,orthogonal_residual,prompt,retrieval_accuracy_off_diagonal,retrieval_accuracy_tie_fraction,self_replay_maximum_error,state_id,state_index,task_family
0.9932025502386431,0.8893161922369988,41320,77,0.9825591344655598,4,4,0.11068380776300124,0.999724558260461,0.1055322434136297,Put the orange block on top of the yellow block.,1.0,1.0,0.0,droid_episode_041320_frame_000077,0,put
0.9927663367777555,0.883523411734268,39259,62,1.152851557567989,4,4,0.11647658826573187,0.9827333560178455,0.11202067857234838,Put the orange object inside the cup.,1.0,1.0,0.0,droid_episode_039259_frame_000062,1,put
0.9975081106038073,0.9279487017930724,6474,68,0.612077589149964,4,4,0.0720512982069275,0.9779683368007431,0.06820663617450703,Put the green bowl in the purple bowl.,1.0,1.0,0.0,droid_episode_006474_frame_000068,2,put
0.9989053616046344,0.9587143010731708,16591,130,3.610307854718492,4,4,0.04128569892682942,0.9974544642856876,0.03977957887164066,"Pick up the trash paper, put it in the drawer and close it",1.0,1.0,0.0,droid_episode_016591_frame_000130,3,pick
0.9983320311393986,0.9431581800714035,36175,107,2.8478000650293054,4,4,0.05684181992859647,0.9918665098916959,0.0550414598302327,Pick the spoon in the bowl and put it on the table,1.0,1.0,0.0,droid_episode_036175_frame_000107,4,pick
0.9968117560679389,0.9310570889081716,11699,330,1.9421402212314616,4,4,0.06894291109182828,0.9979590428355672,0.06769095044600844,Pick up the bottles laying on the table and put them upright on the left and right side of the table,1.0,1.0,0.0,droid_episode_011699_frame_000330,5,pick
0.9991985234587187,0.9631157198916366,34636,261,2.461091403398362,4,4,0.03688428010836348,0.9989457462719101,0.036187798503421846,Move the clear plastic to the right then open it.,1.0,1.0,0.0,droid_episode_034636_frame_000261,6,move
0.9991821042018034,0.962657099554684,12839,207,4.286378606849868,4,4,0.03734290044531593,0.997775634744782,0.03694787861761351,Move one butter knife to the plate rack,1.0,1.0,0.0,droid_episode_012839_frame_000207,7,move
0.9973816963917909,0.9272651236915049,16483,77,1.032425357309132,4,4,0.07273487630849498,1.0037609785697696,0.07030528270864268,Move the black object from the top of the closet to the top shelf,1.0,1.0,0.0,droid_episode_016483_frame_000077,8,move
0.9990021237933017,0.955605121088792,18290,160,1.0883530125756626,4,4,0.04439487891120795,0.9995227739810569,0.0437561481246152,Remove the sachets on the fridge bottom shelf and move them in the open fridge drawer,1.0,1.0,0.0,droid_episode_018290_frame_000160,9,remove
0.9953667668262997,0.9087073062140085,11256,212,1.6859632926386696,4,4,0.0912926937859914,0.9941427872220613,0.08917929691435543,Remove two tissues from the tissue box and put them on the table,1.0,1.0,0.0,droid_episode_011256_frame_000212,10,remove
0.9974289783933962,0.9264880460275204,31870,98,1.0487545940724414,4,4,0.07351195397247963,1.0111082610247528,0.07113666978574326,"Remove the sharpie from the cup, then place it on the table",1.0,1.0,0.0,droid_episode_031870_frame_000098,11,remove
0.9982706399185646,0.9443986854191024,10336,67,1.082802773928013,4,4,0.05560131458089757,0.9918086577736065,0.05261916476015758,Take the green object from the box and place it on the black plate,1.0,1.0,0.0,droid_episode_010336_frame_000067,12,take
